full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,115960,115960,19325,115,115,13,https://github.com/anthropics/claude-code
claude-code-best/claude-code,16385,16385,15250,34,34,7,https://github.com/claude-code-best/claude-code
affaan-m/everything-claude-code,161304,161304,25073,247,247,30,https://github.com/affaan-m/everything-claude-code
jarmuine/claude-code,2041,2041,5752,2,2,3,https://github.com/jarmuine/claude-code
shareAI-lab/learn-claude-code,54872,54872,9037,70,70,13,https://github.com/shareAI-lab/learn-claude-code
yasasbanukaofficial/claude-code,2676,2676,4111,9,9,3,https://github.com/yasasbanukaofficial/claude-code
ChinaSiro/claude-code-sourcemap,8942,8942,14520,4,4,1,https://github.com/ChinaSiro/claude-code-sourcemap
codeaashu/claude-code,2196,2196,3040,12,12,0,https://github.com/codeaashu/claude-code
tanbiralam/claude-code,1501,1501,2390,5,5,4,https://github.com/tanbiralam/claude-code
hesreallyhim/awesome-claude-code,39777,39777,3292,54,54,8,https://github.com/hesreallyhim/awesome-claude-code
pengchengneo/Claude-Code,1211,1211,2189,1,1,1,https://github.com/pengchengneo/Claude-Code
RishabhK103/claude-code,62,62,7309,1,1,-1,https://github.com/RishabhK103/claude-code
shanraisshan/claude-code-best-practice,46622,46622,4576,94,94,12,https://github.com/shanraisshan/claude-code-best-practice
musistudio/claude-code-router,32578,32578,2593,13,13,0,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,24757,24757,2450,11,11,-1,https://github.com/davila7/claude-code-templates
LING71671/Open-ClaudeCode,758,758,1115,0,0,0,https://github.com/LING71671/Open-ClaudeCode
Onewon/claude-code,178,178,2271,0,0,0,https://github.com/Onewon/claude-code
oboard/claude-code-rev,3019,3019,3754,3,3,3,https://github.com/oboard/claude-code-rev
VoltAgent/awesome-claude-code-subagents,17735,17735,2024,21,21,0,https://github.com/VoltAgent/awesome-claude-code-subagents
ponponon/claude_code_src,2175,2175,3481,1,1,0,https://github.com/ponponon/claude_code_src
anthropics/claude-code-action,7167,7167,1727,6,6,2,https://github.com/anthropics/claude-code-action
Donchitos/Claude-Code-Game-Studios,13659,13659,1949,421,421,39,https://github.com/Donchitos/Claude-Code-Game-Studios
Piebald-AI/claude-code-system-prompts,9136,9136,1643,12,12,3,https://github.com/Piebald-AI/claude-code-system-prompts
diet103/claude-code-infrastructure-showcase,9508,9508,1208,13,13,0,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,8743,8743,654,1,1,0,https://github.com/frankbria/ralph-claude-code
liuup/claude-code-analysis,1776,1776,1365,9,9,4,https://github.com/liuup/claude-code-analysis
T-Lab-CUHKSZ/claude-code,288,288,584,0,0,0,https://github.com/T-Lab-CUHKSZ/claude-code
hangsman/claude-code-source,754,754,1740,0,0,1,https://github.com/hangsman/claude-code-source
chauncygu/collection-claude-code-source-code,2172,2172,2179,3,3,4,https://github.com/chauncygu/collection-claude-code-source-code
ykdojo/claude-code-tips,7821,7821,574,9,9,0,https://github.com/ykdojo/claude-code-tips
pedrohcgs/claude-code-my-workflow,944,944,1934,0,0,5,https://github.com/pedrohcgs/claude-code-my-workflow
ChrisWiles/claude-code-showcase,5807,5807,532,3,3,0,https://github.com/ChrisWiles/claude-code-showcase
lintsinghua/claude-code-book,2829,2829,653,4,4,0,https://github.com/lintsinghua/claude-code-book
huangserva/claude-code-cli,554,554,1286,0,0,0,https://github.com/huangserva/claude-code-cli
OneRedOak/claude-code-workflows,3782,3782,554,0,0,-1,https://github.com/OneRedOak/claude-code-workflows
anthropics/skills,120572,120572,13985,150,150,27,https://github.com/anthropics/skills
1rgs/claude-code-proxy,3454,3454,456,0,0,0,https://github.com/1rgs/claude-code-proxy
alex000kim/claude-code,218,218,324,0,0,0,https://github.com/alex000kim/claude-code
777genius/claude-code-source-code,898,898,1119,0,0,0,https://github.com/777genius/claude-code-source-code
disler/claude-code-hooks-mastery,3541,3541,600,3,3,0,https://github.com/disler/claude-code-hooks-mastery
xorespesp/claude-code,219,219,302,0,0,1,https://github.com/xorespesp/claude-code
VineeTagarwaL-code/claude-code,273,273,269,0,0,0,https://github.com/VineeTagarwaL-code/claude-code
zebbern/claude-code-guide,3955,3955,374,0,0,0,https://github.com/zebbern/claude-code-guide
qwibitai/nanoclaw,27536,27536,12404,8,8,37,https://github.com/qwibitai/nanoclaw
lorryjovens-hub/claude-code-rust,1403,1403,571,2,2,0,https://github.com/lorryjovens-hub/claude-code-rust
Maciek-roboblog/Claude-Code-Usage-Monitor,7637,7637,384,3,3,1,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
zstmfhy/Claude-code,192,192,285,0,0,0,https://github.com/zstmfhy/Claude-code
kodu-ai/claude-coder,5279,5279,199,0,0,0,https://github.com/kodu-ai/claude-coder
FlorianBruniaux/claude-code-ultimate-guide,3710,3710,507,16,16,3,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
Yuyz0112/claude-code-reverse,2351,2351,403,0,0,0,https://github.com/Yuyz0112/claude-code-reverse
fuergaosi233/claude-code-proxy,2459,2459,354,3,3,2,https://github.com/fuergaosi233/claude-code-proxy
freestylefly/claude-code,123,123,288,0,0,1,https://github.com/freestylefly/claude-code
anthropics/claude-code-security-review,4317,4317,385,1,1,1,https://github.com/anthropics/claude-code-security-review
Alishahryar1/free-claude-code,1983,1983,365,3,3,2,https://github.com/Alishahryar1/free-claude-code
Windy3f3f3f3f/how-claude-code-works,1937,1937,517,6,6,0,https://github.com/Windy3f3f3f3f/how-claude-code-works
RichardAtCT/claude-code-telegram,2462,2462,342,4,4,0,https://github.com/RichardAtCT/claude-code-telegram
wanshuiyin/Auto-claude-code-research-in-sleep,7045,7045,651,20,20,3,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
sickn33/antigravity-awesome-skills,34016,34016,5625,48,48,7,https://github.com/sickn33/antigravity-awesome-skills
chiragjoshi12/claude-code,188,188,228,0,0,1,https://github.com/chiragjoshi12/claude-code
alejandrobalderas/claude-code-from-source,1636,1636,502,4,4,3,https://github.com/alejandrobalderas/claude-code-from-source
ding113/claude-code-hub,2546,2546,289,7,7,0,https://github.com/ding113/claude-code-hub
Cranot/claude-code-guide,2622,2622,289,1,1,0,https://github.com/Cranot/claude-code-guide
mehmoodosman/claude-code,165,165,219,1,1,1,https://github.com/mehmoodosman/claude-code
fazxes/Claude-code,207,207,208,0,0,0,https://github.com/fazxes/Claude-code
AprilNEA/claude-code-source,372,372,613,0,0,0,https://github.com/AprilNEA/claude-code-source
isboyjc/claude-code,152,152,212,2,2,1,https://github.com/isboyjc/claude-code
anthropics/claude-code-base-action,808,808,600,1,1,1,https://github.com/anthropics/claude-code-base-action
router-for-me/CLIProxyAPI,27313,27313,4521,57,57,7,https://github.com/router-for-me/CLIProxyAPI
JrCx7scC/claude-code-source,354,354,524,1,1,0,https://github.com/JrCx7scC/claude-code-source
repowise-dev/claude-code-prompts,946,946,358,2,2,0,https://github.com/repowise-dev/claude-code-prompts
luyao618/Claude-Code-Source-Study,1191,1191,475,0,0,0,https://github.com/luyao618/Claude-Code-Source-Study
https-deeplearning-ai/sc-claude-code-files,490,490,680,0,0,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
guanshan/ClaudeCode,55,55,214,0,0,0,https://github.com/guanshan/ClaudeCode
nicedreamzapp/claude-code-local,1476,1476,278,42,42,8,https://github.com/nicedreamzapp/claude-code-local
Yeachan-Heo/oh-my-claudecode,30067,30067,2787,56,56,3,https://github.com/Yeachan-Heo/oh-my-claudecode
