full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,82906,82906,6949,127,127,12,https://github.com/anthropics/claude-code
affaan-m/everything-claude-code,108745,108745,14193,508,508,67,https://github.com/affaan-m/everything-claude-code
shareAI-lab/learn-claude-code,39028,39028,6126,162,162,24,https://github.com/shareAI-lab/learn-claude-code
musistudio/claude-code-router,30438,30438,2354,12,12,1,https://github.com/musistudio/claude-code-router
hesreallyhim/awesome-claude-code,32524,32524,2269,67,67,9,https://github.com/hesreallyhim/awesome-claude-code
davila7/claude-code-templates,23587,23587,2276,5,5,1,https://github.com/davila7/claude-code-templates
shanraisshan/claude-code-best-practice,22100,22100,1918,61,61,4,https://github.com/shanraisshan/claude-code-best-practice
VoltAgent/awesome-claude-code-subagents,15205,15205,1700,21,21,4,https://github.com/VoltAgent/awesome-claude-code-subagents
anthropics/claude-code-action,6602,6602,1597,8,8,0,https://github.com/anthropics/claude-code-action
diet103/claude-code-infrastructure-showcase,9341,9341,1195,2,2,0,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,8191,8191,594,5,5,0,https://github.com/frankbria/ralph-claude-code
Piebald-AI/claude-code-system-prompts,6713,6713,915,24,24,5,https://github.com/Piebald-AI/claude-code-system-prompts
ykdojo/claude-code-tips,6755,6755,464,10,10,2,https://github.com/ykdojo/claude-code-tips
ChrisWiles/claude-code-showcase,5581,5581,490,4,4,0,https://github.com/ChrisWiles/claude-code-showcase
Donchitos/Claude-Code-Game-Studios,5300,5300,709,172,172,26,https://github.com/Donchitos/Claude-Code-Game-Studios
OneRedOak/claude-code-workflows,3744,3744,550,0,0,0,https://github.com/OneRedOak/claude-code-workflows
pedrohcgs/claude-code-my-workflow,764,764,1430,2,2,7,https://github.com/pedrohcgs/claude-code-my-workflow
1rgs/claude-code-proxy,3305,3305,432,1,1,1,https://github.com/1rgs/claude-code-proxy
disler/claude-code-hooks-mastery,3413,3413,587,1,1,0,https://github.com/disler/claude-code-hooks-mastery
zebbern/claude-code-guide,3725,3725,344,1,1,0,https://github.com/zebbern/claude-code-guide
kodu-ai/claude-coder,5287,5287,197,-1,-1,0,https://github.com/kodu-ai/claude-coder
qwibitai/nanoclaw,25520,25520,8821,37,37,49,https://github.com/qwibitai/nanoclaw
anthropics/skills,103211,103211,11346,228,228,22,https://github.com/anthropics/skills
Yuyz0112/claude-code-reverse,2268,2268,376,1,1,0,https://github.com/Yuyz0112/claude-code-reverse
Maciek-roboblog/Claude-Code-Usage-Monitor,7139,7139,347,3,3,1,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
fuergaosi233/claude-code-proxy,2242,2242,316,7,7,0,https://github.com/fuergaosi233/claude-code-proxy
anthropics/claude-code-security-review,3996,3996,338,1,1,0,https://github.com/anthropics/claude-code-security-review
RichardAtCT/claude-code-telegram,2249,2249,290,2,2,0,https://github.com/RichardAtCT/claude-code-telegram
Cranot/claude-code-guide,2522,2522,263,1,1,0,https://github.com/Cranot/claude-code-guide
ding113/claude-code-hub,2116,2116,245,8,8,0,https://github.com/ding113/claude-code-hub
anthropics/claude-code-base-action,654,654,588,29,29,0,https://github.com/anthropics/claude-code-base-action
FlorianBruniaux/claude-code-ultimate-guide,2262,2262,334,8,8,0,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
edmund-io/edmunds-claude-code,1355,1355,279,0,0,1,https://github.com/edmund-io/edmunds-claude-code
